trend,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
General Kelly,100,71,32,39,18,44,29,21,21,18,26,15,20,28,16,18
And I Support a Ban,0,0,0,0,0,0,90,0,0,0,0,0,0,0,91,100
Francisco Liriano,0,0,0,0,8,0,0,0,18,0,8,8,0,16,100,91
Ian Cole,4,2,5,4,4,7,4,8,6,2,5,5,5,6,94,100
Matt Olson,18,20,20,98,36,53,18,64,51,40,35,35,35,18,27,100
Kraft Heinz,38,28,33,44,54,31,63,100,40,23,42,58,58,48,48,48
Chris Williams,14,16,18,14,18,19,21,29,65,100,33,17,15,23,19,20
Trumaine Johnson,7,6,6,3,3,10,5,11,6,10,7,5,15,8,100,58
The Misguided Drive to Measure,7,6,6,3,3,10,5,11,6,10,7,5,15,8,100,58
Elaine Duke,18,0,0,0,0,35,0,0,20,20,18,17,26,18,100,100
Ron Ilitch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,100
Tulane 1,0,0,0,100,0,0,0,52,57,84,98,97,48,49,0,56
Yonder Alonso,33,18,18,32,57,32,25,17,75,27,32,24,16,32,83,100
Pablo Sandoval,27,44,44,72,39,72,40,61,59,44,39,64,45,45,100,95
HOME RUN,73,68,74,76,81,77,74,61,84,85,87,83,63,77,100,86
App State 0,73,68,74,76,81,77,74,61,84,85,87,83,63,77,100,86
Ersan Ilyasova,27,50,30,36,36,58,9,9,20,15,0,9,9,0,68,100
Dana Rohrabacher,4,2,7,4,4,4,8,8,2,5,4,4,4,2,42,100
Florida Shooting Suspect,0,<1,0,0,0,23,100,21,6,3,2,2,2,2,1,1
Rick Gates,2,2,2,1,1,1,6,45,9,18,34,16,7,13,100,62
Michael Saunders,26,15,11,19,16,10,26,20,18,22,13,37,100,41,59,40
2 BB,83,53,46,60,55,82,93,92,58,79,88,79,79,100,79,57
Veterans Day,59,33,54,64,82,100,35,37,28,34,59,33,31,37,42,39
David Harris,26,41,44,51,56,53,48,49,26,35,47,57,41,53,100,73
Mid 7,49,65,43,100,91,62,63,44,87,64,99,69,60,28,78,43
Jake Burger,53,0,0,26,26,26,26,52,30,29,0,0,100,0,26,58
Trevor Ariza,100,62,58,40,46,72,78,62,55,51,40,22,20,26,47,45
Emily Ratajkowski,8,9,9,6,8,9,9,11,9,12,8,8,16,14,32,100
Tanner Cook,0,100,0,88,0,0,0,91,0,0,87,0,0,0,90,99
No. 136,0,100,0,88,0,0,0,0,0,0,0,0,0,0,90,0
Matt Kemp,8,7,10,12,50,100,25,29,23,23,19,25,11,29,42,56
Blaine Knight,90,0,0,88,89,0,0,0,100,0,0,86,0,0,0,0
White House 2,24,52,100,73,35,50,35,44,57,35,46,34,56,31,59,65
Adam Hill,51,56,55,79,69,39,59,60,45,55,58,48,57,19,100,44
Tatum,72,85,100,63,63,57,59,67,77,79,50,52,53,54,58,77
Rohrabacher,9,3,3,6,4,4,4,5,3,2,6,3,4,5,43,100
Kreider,86,43,43,92,84,38,100,62,26,17,45,37,52,45,46,51
The Golden Eagles,67,37,37,33,49,98,0,33,56,55,32,48,64,97,100,37
Kraft Heinz,38,28,33,44,54,31,63,100,40,23,42,58,58,48,48,48
Timmy Kelly,46,0,0,45,0,0,0,0,0,0,0,0,43,0,0,100
Greg Monroe,100,22,27,12,4,4,6,3,2,1,2,2,1,1,3,8
Dropbox,90,56,60,100,97,90,96,83,57,58,98,96,96,97,94,65
Mike Ilitch,0,28,11,15,0,0,5,5,0,0,0,5,0,10,51,100
400 IM,86,96,27,36,85,72,24,100,27,81,48,47,70,24,61,95
Eric Staal,29,16,24,14,7,35,14,11,16,8,14,7,14,21,44,100
Marcus Peters,1,<1,<1,<1,<1,1,<1,<1,1,2,3,7,4,3,100,63
Meet the Mueller,0,0,0,0,0,0,88,0,100,0,0,0,0,0,0,98
Trevor Hamilton,30,100,0,89,0,59,0,31,34,33,58,43,29,58,0,0
Fernando Tatis Jr.,0,0,0,0,0,0,0,0,0,0,0,0,86,0,90,100
Brassard,3,4,9,11,8,6,7,7,6,7,10,7,4,7,74,100
Marvin Williams,100,79,63,28,42,42,21,43,40,16,34,47,61,41,57,86
Ish Smith,24,100,35,31,31,15,35,24,0,26,0,11,11,8,23,69
Brady Singer,45,0,100,0,89,44,45,46,50,0,88,43,87,66,45,49
Robson,82,76,90,79,74,85,80,83,95,100,85,72,98,83,94,77
Guentzel,31,34,79,80,40,100,30,83,23,79,79,49,29,0,41,79
Texas 0,38,0,41,24,62,24,25,0,28,28,49,48,24,49,100,28
Red Gerard,<1,8,100,42,28,18,9,6,6,4,3,2,4,2,2,6
Quin Foreman,<1,8,100,42,28,18,9,6,6,4,3,2,4,2,2,6
Kevin Lohan,0,0,0,0,0,0,0,0,51,0,44,0,0,0,46,100
Khris Middleton,25,64,100,65,49,88,41,33,27,36,40,16,0,16,41,72
Zack Hess,0,0,0,89,0,0,0,0,100,100,88,0,0,0,0,0
Eric Davis,16,25,43,29,22,24,27,23,15,20,24,15,13,18,59,100
Myles Stephens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Austin Bain,0,0,0,0,0,0,0,0,99,100,0,0,86,0,0,100
Eric Gordon,14,15,14,15,12,22,16,11,25,100,23,15,18,9,20,28
Dez Bryant,47,49,55,82,100,72,49,36,34,54,56,35,52,40,71,85
North Augusta,92,49,61,73,82,59,74,72,55,59,70,80,87,79,100,59
Drummond,53,54,54,49,45,44,43,45,47,57,100,66,51,50,49,62
Erick Aybar,11,25,0,11,11,11,0,0,0,0,11,11,11,11,11,100
Jesper Fast,0,57,0,100,50,0,51,52,0,56,50,49,49,0,0,56
Steve Holcomb,<1,<1,<1,<1,<1,<1,<1,<1,1,3,41,2,1,4,1,100
Secret Service,100,83,94,70,64,77,62,78,77,81,85,86,80,86,91,82
My Friday,100,53,30,51,44,54,52,77,56,38,48,40,45,58,95,49
Danny Green,100,91,99,54,43,80,45,31,64,47,51,34,20,52,29,30
Wilson Chandler,39,24,97,43,33,86,38,100,18,12,21,11,21,11,39,61
Ian Clark,55,40,20,71,71,53,90,36,20,20,70,17,17,0,18,100
Marcus Smart,100,66,96,47,35,19,82,36,22,9,23,11,34,38,79,52
Ross and Marissa,91,0,0,0,0,0,0,0,100,0,0,0,86,0,0,0
Tobias Lindberg,2,0,0,0,0,0,0,2,0,0,0,0,2,0,2,100
Jeremy Lamb,100,37,98,65,22,22,88,0,0,73,43,42,0,0,66,61
Gerald Green,46,85,74,100,32,78,56,38,55,44,42,31,26,25,9,44
Assembly Hall,74,79,69,49,53,53,45,68,63,69,52,43,66,69,97,100
Jae'Sean Tate,0,0,0,0,0,0,0,0,0,100,0,0,87,0,0,0
Barbers Hill,52,0,14,51,25,25,13,39,29,57,63,37,25,88,90,100
One By One,85,66,76,91,93,90,92,88,65,82,89,89,100,95,87,66
Jan Rutta,0,100,0,0,44,0,0,46,50,50,0,0,0,44,0,75
Jimmy Buckets,0,25,50,0,22,22,23,0,0,0,44,22,0,0,0,100
Thon Maker,48,57,70,54,51,85,47,100,35,39,19,26,45,15,51,100
Aron Baynes,64,19,82,46,13,16,33,10,11,15,13,19,6,13,13,100
Wiggins,86,82,65,74,64,81,76,84,73,63,77,67,61,83,83,100
Hal Hughes,51,0,0,98,0,0,0,100,0,0,0,48,0,49,0,55
Brassard,3,4,9,11,8,6,7,7,6,7,10,7,4,7,74,100
Dirk,74,72,100,71,66,64,58,65,68,74,73,63,64,67,59,76
Kam Williams,10,100,66,20,39,19,20,30,23,22,0,0,19,29,0,0
Granlund,42,14,43,24,41,34,36,30,30,51,31,16,28,38,51,100
Jonas Valanciunas,100,38,53,54,30,13,27,10,27,19,13,10,0,10,10,42
Pens,85,81,81,81,80,78,80,77,73,100,96,91,77,82,83,90
Jalen Rose,52,63,80,31,59,45,46,84,89,53,31,100,85,40,44,31
Andrew Dakich,12,62,61,24,24,12,31,25,0,68,12,0,100,0,12,34
Pels,73,72,53,63,83,63,96,56,68,62,78,69,100,82,76,76
Bryce Jordan,36,75,67,31,21,17,28,43,28,23,34,20,37,100,39,23
Harden,49,54,50,51,51,50,54,56,59,63,100,48,48,42,55,72
Justin Smith,74,73,77,54,47,52,64,61,100,75,59,70,65,61,53,56
Tate,96,100,97,100,87,80,86,94,88,91,79,84,83,83,85,93
Jonathan Martin,<1,1,1,1,1,1,1,1,1,1,1,<1,1,1,88,100
Patty Mills,7,23,100,20,16,23,16,6,12,10,14,7,7,7,11,24
Tyreke Evans,100,44,47,32,13,11,16,7,4,7,3,3,5,10,11,33
Jason Terry,8,22,25,14,13,27,4,11,4,7,7,11,8,9,10,100
Tomas Hyka,46,0,0,45,0,0,0,0,0,0,0,44,0,0,0,100
Texas 2,90,85,70,86,81,85,92,94,82,76,100,91,72,90,89,78
Daniel Theis,41,8,28,13,13,3,7,3,8,6,7,3,0,3,5,100
Nick Schmaltz,13,14,21,13,13,13,0,20,15,0,25,0,0,25,0,100
Jrue Holiday,59,100,39,46,73,19,47,20,35,43,11,19,11,19,39,86
Jimmy Buckets,0,25,50,0,22,22,23,0,0,0,44,22,0,0,0,100
Kaleb Wesson,31,0,100,0,0,0,0,61,34,50,0,0,57,0,0,100
Gary Browne,0,0,0,0,0,0,30,0,0,0,0,0,29,0,0,100
Fleury,87,72,58,68,83,90,90,81,83,75,97,96,99,99,100,84
Thibs,27,100,30,18,0,35,27,27,20,30,17,17,17,0,27,30
Zack Hess,0,0,0,89,0,0,0,0,100,100,88,0,0,0,0,0
Juwan Morgan,0,60,40,0,0,35,71,0,100,39,0,34,51,35,0,40
Kyle Mack,1,34,9,3,4,5,2,1,2,0,2,<1,8,2,2,100
Gary Harris,15,44,21,24,15,42,35,100,44,29,13,16,9,14,37,39
Thomas Bryant,94,36,32,48,35,25,35,39,22,21,22,25,19,22,32,100
Brandon Nowak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Ryan Reaves,1,5,19,3,1,2,1,10,3,4,2,1,2,2,1,100
Nico S\xe1nchez,1,5,19,3,1,2,1,10,3,4,2,1,2,2,1,100
Dirk,74,72,100,71,66,64,58,65,68,74,73,63,64,67,59,76
Utah's 11,74,72,100,71,66,64,58,65,68,74,73,63,64,67,59,76
Yogi Ferrell,40,11,67,89,0,50,60,51,11,33,10,39,0,20,0,100
CJ Jackson,39,58,72,64,26,25,26,26,29,43,25,25,50,25,26,100
Derick Brassard,1,1,1,4,2,3,1,1,3,1,4,2,2,2,74,100
Jason Terry,8,22,25,14,13,27,4,11,4,7,7,11,8,9,10,100
Matt Hamilton,42,60,52,18,13,16,14,11,6,8,12,12,14,17,24,100
Zubac,19,6,17,6,2,9,8,100,4,4,0,4,2,6,6,44
Jrue Holiday,59,100,39,46,73,19,47,20,35,43,11,19,11,19,39,86
Jimmy Buckets,0,25,50,0,22,22,23,0,0,0,44,22,0,0,0,100
Ester Ledecka,<1,<1,<1,<1,<1,<1,1,<1,100,34,16,9,8,7,5,54
C.J. Jackson,0,0,100,0,0,0,0,0,0,0,0,0,57,0,0,0
Josh Hart,100,36,80,17,9,16,37,44,23,18,17,21,21,14,34,99
Thomas Bryant,94,36,32,48,35,25,35,39,22,21,22,25,19,22,32,100
Chris Paul,58,69,58,64,49,48,56,47,44,52,68,40,45,39,42,100
Kuzma,89,51,65,40,42,34,51,68,100,44,31,28,38,40,62,83
Harrison Barnes,98,31,100,47,40,37,22,15,36,17,12,53,38,22,25,58
Ryan Reaves,1,5,19,3,1,2,1,10,3,4,2,1,2,2,1,100
Jimmy Butler,4,12,4,4,3,3,2,5,2,4,27,7,3,2,2,100
Nanette Fabray,<1,1,<1,1,<1,0,0,<1,1,1,<1,0,0,1,5,100
Zack Hess,0,0,0,89,0,0,0,0,100,100,88,0,0,0,0,0
CJ Jackson,39,58,72,64,26,25,26,26,29,43,25,25,50,25,26,100
Julius Randle,92,32,100,35,13,16,31,58,11,11,17,12,14,5,10,89
Chino Hills,82,100,93,79,82,93,89,91,90,95,87,76,77,71,87,96
Swedes,44,49,74,37,72,40,58,47,52,26,26,42,61,54,26,100
Inside the Manafort,44,49,74,37,72,40,58,47,52,26,26,42,61,54,26,100
Ivanka Trump,63,44,40,36,38,30,28,24,33,31,28,30,30,37,65,100
C.J. Jackson,0,0,100,0,0,0,0,0,0,0,0,0,57,0,0,0
Music Core,33,46,42,27,30,30,44,50,61,24,27,39,26,37,36,100
Blue Chips,45,39,33,32,39,36,46,39,37,31,27,42,44,41,35,100
Royce,56,65,66,64,69,68,65,61,70,65,62,61,64,68,77,100
Thibs,27,100,30,18,0,35,27,27,20,30,17,17,17,0,27,30
Jokic,6,5,8,6,5,17,9,100,36,11,11,6,6,6,8,36
Edin,50,42,44,45,46,48,38,52,49,59,49,48,60,66,50,100
One By One,85,66,76,91,93,90,92,88,65,82,89,89,100,95,87,66
Nanette Fabray,<1,1,<1,1,<1,0,0,<1,1,1,<1,0,0,1,5,100
Rick Gates,2,2,2,1,1,1,6,45,9,18,34,16,7,13,100,62
Sean Miller,<1,1,<1,<1,1,<1,<1,1,<1,<1,<1,<1,<1,<1,1,100
Lisa Marie Presley,14,14,14,13,12,10,14,23,73,52,24,13,12,11,85,100
Manafort,3,3,4,3,4,3,2,8,16,13,22,17,22,46,100,87
Andy Reid,95,100,90,80,30,71,51,48,57,33,33,25,25,33,43,76
Good Saturday,25,99,15,5,10,6,6,22,100,16,4,5,6,6,30,98
Ivanka Trump,63,44,40,36,38,30,28,24,33,31,28,30,30,37,65,100
Yahoo,100,73,64,95,95,98,99,97,90,69,97,99,99,98,95,70
Djibouti,64,87,79,80,74,81,86,78,75,89,98,92,83,100,100,87
Julius Randle,92,32,100,35,13,16,31,58,11,11,17,12,14,5,10,89
Brassard,4,5,8,11,9,5,7,6,7,6,9,7,4,6,81,100
Jimmy Butler,4,12,4,4,3,3,2,5,2,4,27,7,3,2,2,100
Matt Hamilton,42,60,52,18,13,16,14,11,6,8,12,12,14,17,24,100
Rick Gates,2,2,2,1,1,1,6,45,9,18,34,16,7,13,100,62
Inside the Manafort,2,2,2,1,1,1,6,45,9,18,34,16,7,13,100,62
Ester Ledecka,<1,<1,<1,<1,<1,<1,1,<1,100,34,16,9,8,7,5,54
NCAA,50,65,77,62,50,45,46,55,76,77,57,70,60,58,72,100
Marcus Peters,1,<1,<1,<1,<1,1,<1,<1,1,2,3,7,4,3,100,63
Sean Miller,<1,1,<1,<1,1,<1,<1,1,<1,<1,<1,<1,<1,<1,1,100
Annihilation,5,5,6,5,6,7,7,7,8,8,8,10,19,34,68,100
Enhanced Risk,100,0,0,65,0,49,0,0,0,0,32,32,0,65,33,0
Good Saturday,25,99,15,5,10,6,6,22,100,16,4,5,6,6,30,98
Jonathan Martin,<1,1,1,1,1,1,1,1,1,1,1,<1,1,1,88,100
Susan Rice,2,3,1,10,100,33,12,9,3,3,3,4,2,3,5,8
I Appreciate Assault Weapons,2,3,1,10,100,33,12,9,3,3,3,4,2,3,5,8
Anfield,54,52,52,58,57,76,68,43,48,48,55,51,47,42,52,100
Locust Grove,100,90,35,40,33,35,33,21,33,24,25,37,24,26,31,31
Latest Mueller,73,46,46,77,57,41,72,100,99,75,56,85,85,76,57,75
Chief of Staff John Kelly,100,37,27,65,33,65,33,17,28,0,48,24,24,0,50,37
Beto O'Rourke,100,37,37,49,99,33,66,34,38,37,97,96,64,65,67,73
Berkshire,74,51,52,68,68,67,75,68,59,56,61,60,64,65,71,100
BTN Plus,92,67,33,59,30,30,30,92,0,100,29,43,43,0,30,50
Condado,67,70,73,73,63,100,100,74,92,68,67,67,52,68,74,85
Czechs,26,14,28,31,19,25,100,25,28,14,18,42,48,24,76,83
Nick Caserio,100,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0
Stoke,46,76,56,52,46,44,44,45,49,45,47,44,44,46,49,100
Delta Airlines,87,81,93,86,88,89,89,90,79,84,98,100,96,90,88,85
Left to Louisiana's Tides,87,81,93,86,88,89,89,90,79,84,98,100,96,90,88,85
Championship Saturday,69,38,0,0,0,33,0,34,57,38,33,0,0,100,34,38
Emre Can,34,34,58,15,27,53,44,39,36,32,24,30,41,38,19,100
Chris Bosh,19,19,11,11,10,13,95,100,39,23,18,15,13,11,10,12
Rapunzel's Royal Table,19,19,11,11,10,13,95,100,39,23,18,15,13,11,10,12
Black Mountain,69,63,77,72,75,66,69,68,98,100,82,71,76,70,84,84
Anfield,54,52,52,58,57,76,68,43,48,48,55,51,47,42,52,100
Berkshire Hathaway,55,33,31,47,52,48,67,51,43,39,39,42,51,47,43,100
Asheville to Charlotte,41,18,46,12,37,40,25,42,37,32,40,31,28,28,41,100
St. John's Prep,99,0,0,0,98,97,0,100,0,0,97,0,0,97,0,0
Andy Robertson,14,0,23,17,10,48,73,35,39,23,14,33,10,14,7,100
College Gameday,12,100,36,20,4,24,8,16,55,27,4,12,4,8,16,41
Evra,60,67,43,54,54,41,30,30,35,27,61,40,36,33,39,100
Women's Caucus,0,0,0,0,0,0,35,36,39,38,0,100,0,69,0,39
Radiohead,34,39,40,37,36,32,33,32,37,36,35,83,85,62,100,99
SNKRS,39,99,36,30,37,80,37,89,63,35,31,41,24,34,56,100
Tornado Watch,10,8,5,3,3,3,6,5,2,4,8,8,14,9,3,79
Myles Cale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Bred Toes,5,4,4,4,3,3,3,7,7,3,10,18,21,17,36,100
Randy Bryce,19,36,72,64,57,76,26,59,14,93,32,31,43,38,32,100
Mark Emmert,8,0,0,8,8,0,16,8,9,0,8,8,0,8,32,100
Mohamed Salah,36,31,73,58,36,73,100,77,70,50,38,40,34,32,33,78
Megan Gustafson,75,50,0,45,0,0,0,0,50,44,87,86,0,0,100,98
Delta and United,30,50,0,59,15,0,15,31,34,66,59,29,29,29,76,100
Red Storm,94,63,55,63,35,46,57,100,98,72,51,61,65,25,87,77
Carlos Martinez,97,97,97,72,100,59,80,64,64,78,84,64,45,62,66,62
Cristiano,39,54,54,42,51,100,77,55,52,52,46,46,45,40,41,61
Friars,82,61,52,72,64,91,51,77,61,77,58,85,100,63,63,66
Michigan 54,61,33,34,89,0,30,60,62,0,33,44,29,57,29,30,100
Dan Dakich,20,88,35,21,36,32,11,20,28,21,14,97,45,25,100,43
Alex Robinson,72,43,25,51,38,38,52,58,57,50,62,62,62,26,100,56
Reese Mona,0,0,0,0,0,0,0,0,67,0,0,0,0,0,100,0
Jordan Poole,0,0,37,6,0,0,7,7,0,69,32,6,0,100,30,18
Muhammad-Ali Abdur-Rahkman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Central Noble,19,12,11,22,22,22,29,63,25,22,49,32,33,23,100,55
Jorge Alfaro,0,25,44,44,22,22,23,51,25,0,54,32,22,23,100,73
Tom Manning,75,100,75,33,63,15,37,46,54,33,33,39,39,26,34,83
Ashley Eckstein,0,0,0,46,0,46,92,47,52,51,45,44,0,45,0,51
Custer,85,92,71,85,69,70,66,91,76,76,100,75,98,89,100,63
Kyle Wright,33,81,29,72,0,44,30,100,98,29,28,28,29,59,98,48
Benzema,22,40,46,27,33,100,49,30,27,53,48,32,40,30,27,80
Govan,53,43,38,43,49,41,40,43,100,51,49,52,43,67,54,42
Michael Steele,7,4,5,5,3,3,4,4,3,4,5,7,3,5,4,100
Tremont Waters,57,28,25,25,50,25,0,100,71,25,37,73,62,51,42,55
Angel Delgado,63,31,28,70,56,85,87,48,95,28,55,54,41,100,63,31
Chris Farley,51,100,84,66,64,69,68,74,58,66,54,61,57,65,75,69
Hoyas,42,71,92,35,63,76,38,37,52,43,32,24,53,100,44,64
Gabe DeVoe,100,50,44,44,0,45,0,50,50,44,43,43,44,0,50,49
Dwayne Sutton,0,0,45,46,0,0,47,0,0,0,89,0,0,0,0,100
Erik Kratz,0,0,0,0,0,0,0,33,0,29,0,29,0,0,100,0
Brandon Davidson,6,3,4,7,3,5,5,3,0,2,2,5,2,5,100,35
Ponds,92,90,80,85,76,82,76,84,85,78,77,80,77,85,100,86
Jericho Sims,0,0,88,89,90,89,0,100,100,87,0,0,88,0,100,0
Michigan 85,100,0,0,44,0,0,46,0,50,0,0,43,43,0,50,0
Watford,77,46,41,38,34,37,35,39,36,37,33,34,35,37,100,45
Bar\xe7a,77,46,41,38,34,37,35,39,36,37,33,34,35,37,100,45
Robert Hagg,0,33,29,0,0,0,30,34,0,0,29,29,0,0,100,33
Emma Chambers,<1,0,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,100
Marvin Clark,100,0,88,0,44,0,0,0,0,87,87,86,86,45,100,49
Su\xe1rez,100,0,88,0,44,0,0,0,0,87,87,86,86,45,100,49
Media Timeout,50,0,0,44,44,89,0,0,0,0,43,65,0,0,100,0
Winchester Public Library,10,10,9,9,0,18,9,0,21,18,9,9,0,9,77,100
Tyson Ross,0,50,74,30,30,0,91,50,33,29,58,29,0,0,100,49
Delta and United,25,12,33,11,45,17,23,19,31,44,27,43,33,11,100,92
Jalen Brunson,29,6,10,15,23,13,8,14,6,10,17,15,20,10,100,20
Geno Smith,0,13,9,7,9,5,24,5,10,5,11,4,7,9,100,85
Pitt 7,25,74,43,0,65,22,67,100,0,86,43,42,0,67,49,0
Tornado Watch,9,7,3,3,3,6,5,6,3,5,7,12,7,5,69,100
Dembele,60,52,47,100,67,40,38,33,33,28,53,34,30,38,79,75
Piqu\xe9,60,52,47,100,67,40,38,33,33,28,53,34,30,38,79,75
Miles Bridges,26,34,6,6,8,4,3,15,4,4,3,15,5,100,100,56
Mitch Ballock,33,0,0,0,0,0,0,0,0,0,0,0,0,0,100,33
Jacob Young,60,68,38,90,76,76,78,60,51,74,44,73,30,100,59,17
Girona,16,26,17,13,13,14,28,18,15,15,15,15,14,18,100,53
Yante Maten,33,33,44,29,29,44,90,100,0,29,57,0,0,30,33,32
Admiral Schofield,45,45,40,0,100,80,0,45,45,0,39,0,59,41,90,44
Claude Giroux,15,49,66,26,35,31,18,40,94,100,17,26,13,49,50,68
Kerwin Roach,56,0,0,100,0,0,0,86,0,25,24,24,0,25,0,0
Notting Hill,22,29,21,20,28,24,23,24,23,18,19,18,19,19,47,100
Will Middlebrooks,0,6,3,0,3,4,0,3,0,0,0,7,3,3,31,100
Sam Hinkie,0,10,11,6,6,23,12,7,0,6,53,36,37,73,100,35
FBI's Russia,0,10,11,6,6,23,12,7,0,6,53,36,37,73,100,35
Ohtani,22,29,18,21,65,77,49,24,31,16,33,25,48,43,82,100
Marcus Garrett,0,0,0,0,0,0,0,51,25,0,43,0,0,0,100,24
Read the Democratic,51,0,45,45,46,0,70,0,0,0,0,44,0,0,51,100
Brandon Manning,0,100,30,30,0,60,31,0,67,0,29,86,29,45,100,33
Eli Wright,0,58,51,76,52,0,53,0,58,51,50,50,100,0,0,0
Kevin Stallings,10,47,21,25,25,13,17,19,10,42,25,16,25,22,100,88
Kyle Guy,46,73,49,36,57,41,29,55,50,76,52,40,100,54,64,76
UN Security Council,29,40,45,54,47,57,24,27,37,33,67,67,100,77,90,96
Hassani Gravett,33,0,0,0,30,0,0,67,0,0,0,0,29,30,100,33
Lorenzo Romar,5,29,0,0,0,0,0,0,0,4,0,0,4,4,34,100
Khyri Thomas,0,50,44,89,44,0,0,0,100,44,43,43,43,0,50,73
Conquest Tsunami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,98
Lonnie Walker,40,12,41,36,61,10,11,23,23,20,100,45,10,21,29,17
Lubbock,91,75,87,85,80,82,96,97,79,81,84,81,92,91,100,80
Allen to Bagley,91,75,87,85,80,82,96,97,79,81,84,81,92,91,100,80
Lamar Peters,100,50,0,0,0,45,46,0,50,0,43,0,44,68,50,98
Coutinho,66,68,51,49,54,47,45,56,57,51,91,64,46,44,77,100
Emma Chambers,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,100,79
Devonte Graham,7,13,0,4,8,8,4,9,13,8,44,10,19,12,100,74
Shareef O'Neal,9,4,2,2,2,4,5,8,5,3,5,2,7,6,77,100
Tony Bennett,80,100,68,75,79,58,69,80,80,57,43,59,77,56,97,65
Shot in the Dark,19,24,23,23,15,30,26,17,43,27,27,18,33,37,100,72
Matt Farrell,28,0,37,37,0,25,13,100,28,12,49,12,12,25,42,27
Economic Model,37,64,84,100,68,79,70,30,42,51,48,52,58,56,35,38
Jay Huff,0,50,0,0,44,0,46,0,0,0,0,86,0,0,100,0
Scott Stevens,51,96,85,79,40,34,29,58,83,45,78,44,39,64,83,100
No. 6 Texas Tech,51,96,85,79,40,34,29,58,83,45,78,44,39,64,83,100
Dickie V,0,0,50,100,0,0,0,0,0,0,49,97,98,51,0,55
Gafford,14,100,64,51,64,16,16,29,25,13,25,87,22,32,29,35
Creighton,65,24,29,32,32,20,23,30,49,22,27,32,23,26,100,39
Schiff,90,79,66,60,57,59,58,65,100,64,57,53,52,48,66,94
Lobos BUAP,34,100,16,18,88,11,14,58,10,8,1,3,36,9,60,95
Luxora,82,61,37,36,36,74,76,42,41,71,71,0,35,37,41,100
Evgeny Kuznetsov,93,0,33,33,100,0,34,76,37,32,0,32,49,0,74,36
Marvin Bagley,29,88,62,28,56,61,25,36,100,42,42,66,84,42,76,54
Christian James,48,72,60,46,53,53,54,40,100,63,55,41,38,54,28,50
Hampshire,86,93,95,97,90,90,97,94,93,98,95,97,100,96,89,89
House Intelligence Committee,39,18,16,9,10,10,20,7,7,6,12,18,6,0,100,42
Tornado Warning,6,8,2,3,4,5,6,4,4,4,6,14,5,3,27,100
Adrio Bailey,0,0,0,0,45,0,0,0,0,0,0,0,0,46,0,100
Nichols,68,69,72,72,69,82,79,100,70,63,66,68,73,71,71,61
Brayden Point,0,9,8,16,8,37,30,14,23,12,16,60,12,17,14,100
Red Raiders,50,100,30,55,63,34,46,21,96,22,29,22,66,23,96,45
Duke and Syracuse,0,0,0,0,0,0,0,0,0,0,0,0,44,45,100,73
Esa Ahmad,0,51,0,0,0,0,0,51,51,0,0,66,0,0,51,100
Duval,76,87,98,100,95,88,98,73,72,95,92,90,91,93,73,72
Andre Burakovsky,100,66,0,29,30,30,46,67,100,73,29,0,29,60,33,49
Pe\xf1a Nieto,100,66,0,29,30,30,46,67,100,73,29,0,29,60,33,49
Concord Mills,9,9,5,4,4,3,7,16,10,6,5,5,4,6,11,100
Zhaire Smith,0,28,0,25,38,0,0,0,0,0,0,0,25,26,100,28
Stamkos,42,45,30,74,54,24,52,38,57,43,16,29,26,24,23,100
David Lee,52,53,49,50,54,44,49,51,52,41,44,42,50,56,54,100
Bill Self,33,40,49,29,40,36,44,71,50,22,87,50,48,59,100,73
Brett Moffitt,14,0,0,0,0,0,13,0,0,0,0,0,0,0,61,100
Kody Clemens,0,0,0,0,0,0,0,41,41,0,0,35,0,0,41,100
Cam Atkinson,92,46,41,41,41,62,43,70,46,41,100,0,80,63,0,0
Mona Charen,0,0,0,0,0,0,0,0,0,0,1,1,0,1,41,100
Shai Gilgeous-Alexander,56,56,49,50,50,100,52,56,56,0,97,48,49,0,0,54
Cuse,54,75,56,59,51,59,47,82,75,45,60,57,100,52,63,65
Justin Johnson,100,56,83,74,62,57,86,64,60,53,58,72,47,84,63,94
Nazem Kadri,5,20,0,23,9,100,5,0,10,13,0,4,0,0,5,64
Rupp Arena,84,48,31,31,66,58,77,98,45,37,67,56,45,59,100,69
Hami,35,25,38,33,40,34,33,52,40,39,33,34,41,100,92,44
Schiff,90,79,66,60,57,59,58,65,100,64,57,53,52,48,66,94
Marchand,71,75,100,70,65,57,52,60,82,67,55,51,72,48,54,65
Quade Green,33,49,0,44,0,59,61,100,66,58,57,43,87,30,33,65
Josh Anderson,57,24,58,100,22,44,37,49,49,21,49,28,28,29,41,24
