trend,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
Lost in Space,12,14,17,13,16,22,19,15,10,12,15,16,21,16,16,83
Prince George's County,56,89,49,39,47,26,34,61,42,42,43,39,9,15,48,100
Chris Weinke,9,0,10,0,0,9,19,9,100,53,27,11,14,0,32,51
King David,71,73,82,87,89,90,75,66,79,86,77,82,67,81,100,92
Ted Nugent,15,25,16,17,16,13,11,17,17,22,20,21,100,21,25,30
Mel Kiper Jr.,15,25,16,17,16,13,11,17,17,22,20,21,100,21,25,30
Carlos Gomez,14,15,36,8,23,28,33,35,15,29,27,19,29,25,100,70
Julia Cordover,0,0,0,0,0,0,0,0,0,0,7,0,0,0,18,100
Chuck Todd,20,16,41,26,100,42,37,21,40,26,16,47,28,16,11,21
Jay Fant,0,0,0,0,16,15,0,0,0,15,0,0,0,14,100,44
Samuel Zeif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,100
Sevilla,46,36,31,27,40,33,30,29,29,30,38,33,32,34,100,49
Shakhtar,2,1,2,2,2,2,3,4,4,4,2,3,6,14,100,31
Red Line,65,84,93,79,79,72,83,73,75,81,81,75,78,72,100,93
Graves,23,23,23,22,19,19,21,23,20,20,20,18,20,21,22,74
Nina Simone,42,31,39,52,49,67,40,37,37,44,50,50,47,48,50,100
Rick Pitino,1,2,4,6,7,2,4,2,5,6,6,9,2,57,100,54
Jurassic World 3,48,20,34,63,54,19,22,25,29,32,50,48,36,31,58,100
Indian Health Service,42,85,44,59,19,43,34,77,17,71,0,19,51,100,92,85
Mourinho,37,33,42,33,67,57,41,39,37,36,46,41,37,53,100,76
Pogba,24,27,32,32,58,44,33,35,45,72,78,62,44,40,100,63
Calexico,100,82,81,79,87,80,85,86,76,87,87,84,87,73,88,79
Broward Sheriff,5,7,10,8,11,11,10,57,100,50,34,13,24,16,24,79
Marvin Bagley,11,32,74,34,100,71,34,50,61,24,46,98,47,46,50,76
Erik Prince,12,25,39,29,100,25,32,25,19,26,43,29,25,19,80,44
Darrell Scott,8,16,4,5,5,0,16,0,8,45,88,100,40,12,27,28
Vero,60,62,68,69,74,68,63,71,70,74,75,74,74,73,82,100
De Sousa,26,26,22,18,18,20,21,26,26,100,32,31,28,30,37,37
Manchester United,21,21,21,34,80,23,23,23,20,21,72,28,21,27,100,41
Tekashi,28,25,24,54,29,32,30,35,33,28,50,52,46,29,74,100
Battery,93,94,95,100,99,98,96,88,90,91,99,97,95,94,91,93
Zavier Simpson,0,0,0,0,100,0,0,0,0,0,0,0,88,0,87,89
Sebastian Janikowski,1,1,3,1,1,1,1,23,100,32,9,7,4,3,10,6
